City,Price,Address,Number_Beds,Number_Baths,Province,Population,Latitude,Longitude,Median_Family_Income
Toronto,560000.0,#2410 -50 THOMAS RILEY RD,1,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,770000.0,#2003 -10 WILBY CRES,3,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1499999.0,46 WATERFORD DR,4,4,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,849900.0,#G203 -100 CANON JACKSON DR,2,3,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1649000.0,111 VICTOR AVE,3,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1688000.0,563 BIRCHMOUNT RD,5,3,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1450000.0,26 WOODYCREST AVE,4,3,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1200000.0,102 GRADWELL DR,3,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,949000.0,7 PHERRILL MEWS,4,3,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1099000.0,128 BARRINGTON AVE,8,5,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1980000.0,444 ROXTON RD,0,0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1495000.0,#TH7 -240 BROADWAY AVE,2,4,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,698888.0,#5109 -14 YORK ST,1,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,5678000.0,#3402 -200 CUMBERLAND ST,2,3,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,438000.0,#1515 -36 LISGAR ST,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,559000.0,#N1105 -455 FRONT ST E,1,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2099800.0,341 GLENGARRY AVE,4,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,770000.0,#3106 -45 CHARLES ST E,1,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2695000.0,59 DUNCANNON DR,4,4,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2295000.0,22 METCALFE ST,3,3,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,870000.0,#1301 -85 EAST LIBERTY ST,3,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,966000.0,#406 -28 LINDEN ST,2,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1399999.0,7 MITCHELL AVE,3,3,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,699000.0,#901 -60 QUEEN ST E,0,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1499000.0,39 BETHNAL AVE,3,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,549900.0,#1901 -2121 LAKESHORE BLVD W,1,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,499000.0,#809 -30 SAMUEL WOOD WAY,1,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1099900.0,#803 -57 MACAULAY AVE,2,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,499999.0,#1201 -15 WINDERMERE AVE,1,1,Ontario,5647656,43.7417,-79.3733,97000.0
